A,B
student-student,1
student-engineer,0
student-librarian,0
student-professor,0
student-doctor,0
engineer-student,0
engineer-engineer,1
engineer-librarian,0
engineer-professor,0
engineer-doctor,0
librarian-student,0
librarian-engineer,0
librarian-librarian,1
librarian-professor,0
librarian-doctor,0
professor-student,0
professor-engineer,0
professor-librarian,0
professor-professor,1
professor-doctor,0
doctor-student,0
doctor-engineer,0
doctor-librarian,0
doctor-professor,0
doctor-doctor,1
spend<<saving-spend<<saving,1
spend<<saving-spend<saving,0
spend<<saving-spend>saving,0
spend<<saving-spend>>saving,0
spend<saving-spend<<saving,0
spend<saving-spend<saving,1
spend<saving-spend>saving,0
spend<saving-spend>>saving,0
spend>saving-spend<<saving,0
spend>saving-spend<saving,0
spend>saving-spend>saving,1
spend>saving-spend>>saving,0
spend>>saving-spend<<saving,0
spend>>saving-spend<saving,0
spend>>saving-spend>saving,0
spend>>saving-spend>>saving,1
