A,B
loan-loan,1
loan-bank_account,0
loan-cd,0.1
loan-mortgage,0.3
loan-fund,0.2
bank_account-loan,0
bank_account-bank_account,1
bank_account-cd,0
bank_account-mortgage,0
bank_account-fund,0
cd-loan,0.1
cd-bank_account,0
cd-cd,1
cd-mortgage,0.2
cd-fund,0.2
mortgage-loan,0.3
mortgage-bank_account,0
mortgage-cd,0.2
mortgage-mortgage,1
mortgage-fund,0.1
fund-loan,0.2
fund-bank_account,0
fund-cd,0.2
fund-mortgage,0.1
fund-fund,1
business-business,1
business-professional,0.2
business-student,0.1
business-doctor,0.2
business-other,0
professional-business,0.2
professional-professional,1
professional-student,0.2
professional-doctor,0.1
professional-other,0
student-business,0.1
student-professional,0.2
student-student,1
student-doctor,0.1
student-other,0
doctor-business,0.2
doctor-professional,0.1
doctor-student,0.1
doctor-doctor,1
doctor-other,0
other-business,0
other-professional,0
other-student,0
other-doctor,0
other-other,1
small-small,1
small-medium,0.1
small-large,0
medium-small,0.1
medium-medium,1
medium-large,0.1
large-small,0
large-medium,0.1
large-large,1
full-full,1
full-web&email,0.8
full-web,0
full-none,0
web&email-full,0.8
web&email-web&email,1
web&email-web,0.1
web&email-none,0.5
web-full,0
web-web&email,0.1
web-web,1
web-none,0.4
none-full,0
none-web&email,0.5
none-web,0.4
none-none,1
